Ind	Pop	Cont	Name	Gender
HG03885	STU	IND	Sri Lankan Tamil in the UK	male
HG03886	STU	IND	Sri Lankan Tamil in the UK	female
HG03887	STU	IND	Sri Lankan Tamil in the UK	male
HG03888	STU	IND	Sri Lankan Tamil in the UK	female
HG03890	STU	IND	Sri Lankan Tamil in the UK	male
HG03894	STU	IND	Sri Lankan Tamil in the UK	female
HG03895	STU	IND	Sri Lankan Tamil in the UK	female
HG03896	STU	IND	Sri Lankan Tamil in the UK	male
HG03897	STU	IND	Sri Lankan Tamil in the UK	female
HG03898	STU	IND	Sri Lankan Tamil in the UK	female
HG03899	STU	IND	Sri Lankan Tamil in the UK	male
HG03900	STU	IND	Sri Lankan Tamil in the UK	male
HG03902	BEB	IND	Bengali in Bangladesh	male
HG03905	BEB	IND	Bengali in Bangladesh	male
HG03907	BEB	IND	Bengali in Bangladesh	female
HG03908	BEB	IND	Bengali in Bangladesh	male
HG03910	BEB	IND	Bengali in Bangladesh	female
HG03911	BEB	IND	Bengali in Bangladesh	male
HG03913	BEB	IND	Bengali in Bangladesh	female
HG03914	BEB	IND	Bengali in Bangladesh	male
HG03916	BEB	IND	Bengali in Bangladesh	female
HG03917	BEB	IND	Bengali in Bangladesh	male
HG03919	BEB	IND	Bengali in Bangladesh	female
HG03920	BEB	IND	Bengali in Bangladesh	male
HG03922	BEB	IND	Bengali in Bangladesh	female
HG03925	BEB	IND	Bengali in Bangladesh	female
HG03926	BEB	IND	Bengali in Bangladesh	male
HG03928	BEB	IND	Bengali in Bangladesh	female
HG03931	BEB	IND	Bengali in Bangladesh	female
HG03934	BEB	IND	Bengali in Bangladesh	female
HG03937	BEB	IND	Bengali in Bangladesh	female
HG03940	BEB	IND	Bengali in Bangladesh	female
HG03941	BEB	IND	Bengali in Bangladesh	male
HG03943	STU	IND	Sri Lankan Tamil in the UK	male
HG03944	STU	IND	Sri Lankan Tamil in the UK	female
HG03945	STU	IND	Sri Lankan Tamil in the UK	female
HG03947	STU	IND	Sri Lankan Tamil in the UK	female
HG03949	STU	IND	Sri Lankan Tamil in the UK	female
HG03950	STU	IND	Sri Lankan Tamil in the UK	male
HG03951	STU	IND	Sri Lankan Tamil in the UK	female
HG03953	STU	IND	Sri Lankan Tamil in the UK	male
HG03955	STU	IND	Sri Lankan Tamil in the UK	female
HG03960	ITU	IND	Indian Telugu in the UK	male
HG03963	ITU	IND	Indian Telugu in the UK	male
HG03965	ITU	IND	Indian Telugu in the UK	male
HG03967	ITU	IND	Indian Telugu in the UK	male
HG03968	ITU	IND	Indian Telugu in the UK	female
HG03969	ITU	IND	Indian Telugu in the UK	male
HG03971	ITU	IND	Indian Telugu in the UK	male
HG03973	ITU	IND	Indian Telugu in the UK	female
HG03974	ITU	IND	Indian Telugu in the UK	male
HG03976	ITU	IND	Indian Telugu in the UK	male
HG03977	ITU	IND	Indian Telugu in the UK	female
HG03978	ITU	IND	Indian Telugu in the UK	male
HG03985	STU	IND	Sri Lankan Tamil in the UK	male
HG03986	STU	IND	Sri Lankan Tamil in the UK	female
HG03989	STU	IND	Sri Lankan Tamil in the UK	female
HG03990	STU	IND	Sri Lankan Tamil in the UK	male
HG03991	STU	IND	Sri Lankan Tamil in the UK	male
HG03995	STU	IND	Sri Lankan Tamil in the UK	female
HG03998	STU	IND	Sri Lankan Tamil in the UK	male
HG03999	STU	IND	Sri Lankan Tamil in the UK	male
HG04001	ITU	IND	Indian Telugu in the UK	female
HG04002	ITU	IND	Indian Telugu in the UK	male
HG04003	STU	IND	Sri Lankan Tamil in the UK	male
HG04006	STU	IND	Sri Lankan Tamil in the UK	male
HG04014	ITU	IND	Indian Telugu in the UK	female
HG04015	ITU	IND	Indian Telugu in the UK	male
HG04017	ITU	IND	Indian Telugu in the UK	male
HG04018	ITU	IND	Indian Telugu in the UK	female
HG04019	ITU	IND	Indian Telugu in the UK	male
HG04020	ITU	IND	Indian Telugu in the UK	male
HG04022	ITU	IND	Indian Telugu in the UK	male
HG04023	ITU	IND	Indian Telugu in the UK	male
HG04025	ITU	IND	Indian Telugu in the UK	female
HG04026	ITU	IND	Indian Telugu in the UK	female
HG04029	STU	IND	Sri Lankan Tamil in the UK	female
HG04033	STU	IND	Sri Lankan Tamil in the UK	male
HG04035	STU	IND	Sri Lankan Tamil in the UK	female
HG04038	STU	IND	Sri Lankan Tamil in the UK	female
HG04039	STU	IND	Sri Lankan Tamil in the UK	male
HG04042	STU	IND	Sri Lankan Tamil in the UK	female
HG04047	STU	IND	Sri Lankan Tamil in the UK	female
HG04054	ITU	IND	Indian Telugu in the UK	female
HG04056	ITU	IND	Indian Telugu in the UK	male
HG04059	ITU	IND	Indian Telugu in the UK	female
HG04060	ITU	IND	Indian Telugu in the UK	male
HG04061	ITU	IND	Indian Telugu in the UK	male
HG04062	ITU	IND	Indian Telugu in the UK	female
HG04063	ITU	IND	Indian Telugu in the UK	female
HG04070	ITU	IND	Indian Telugu in the UK	female
HG04075	STU	IND	Sri Lankan Tamil in the UK	female
HG04076	ITU	IND	Indian Telugu in the UK	female
HG04080	ITU	IND	Indian Telugu in the UK	male
HG04090	ITU	IND	Indian Telugu in the UK	female
HG04093	ITU	IND	Indian Telugu in the UK	male
HG04094	ITU	IND	Indian Telugu in the UK	male
HG04096	ITU	IND	Indian Telugu in the UK	male
HG04098	ITU	IND	Indian Telugu in the UK	male
HG04099	STU	IND	Sri Lankan Tamil in the UK	female
HG04100	STU	IND	Sri Lankan Tamil in the UK	male
HG04106	STU	IND	Sri Lankan Tamil in the UK	female
HG04107	STU	IND	Sri Lankan Tamil in the UK	male
HG04118	ITU	IND	Indian Telugu in the UK	female
HG04131	BEB	IND	Bengali in Bangladesh	male
HG04134	BEB	IND	Bengali in Bangladesh	male
HG04140	BEB	IND	Bengali in Bangladesh	male
HG04141	BEB	IND	Bengali in Bangladesh	female
HG04144	BEB	IND	Bengali in Bangladesh	female
HG04146	BEB	IND	Bengali in Bangladesh	male
HG04152	BEB	IND	Bengali in Bangladesh	male
HG04153	BEB	IND	Bengali in Bangladesh	female
HG04155	BEB	IND	Bengali in Bangladesh	male
HG04156	BEB	IND	Bengali in Bangladesh	female
HG04158	BEB	IND	Bengali in Bangladesh	male
HG04159	BEB	IND	Bengali in Bangladesh	female
HG04161	BEB	IND	Bengali in Bangladesh	male
HG04162	BEB	IND	Bengali in Bangladesh	female
HG04164	BEB	IND	Bengali in Bangladesh	male
HG04171	BEB	IND	Bengali in Bangladesh	female
HG04173	BEB	IND	Bengali in Bangladesh	male
HG04176	BEB	IND	Bengali in Bangladesh	male
HG04177	BEB	IND	Bengali in Bangladesh	female
HG04180	BEB	IND	Bengali in Bangladesh	female
HG04182	BEB	IND	Bengali in Bangladesh	male
HG04183	BEB	IND	Bengali in Bangladesh	female
HG04185	BEB	IND	Bengali in Bangladesh	male
HG04186	BEB	IND	Bengali in Bangladesh	female
HG04188	BEB	IND	Bengali in Bangladesh	male
HG04189	BEB	IND	Bengali in Bangladesh	female
HG04194	BEB	IND	Bengali in Bangladesh	male
HG04195	BEB	IND	Bengali in Bangladesh	female
HG04198	ITU	IND	Indian Telugu in the UK	male
HG04200	ITU	IND	Indian Telugu in the UK	female
HG04202	ITU	IND	Indian Telugu in the UK	female
HG04206	ITU	IND	Indian Telugu in the UK	male
HG04209	ITU	IND	Indian Telugu in the UK	female
HG04210	STU	IND	Sri Lankan Tamil in the UK	male
HG04211	ITU	IND	Indian Telugu in the UK	male
HG04212	ITU	IND	Indian Telugu in the UK	female
HG04214	ITU	IND	Indian Telugu in the UK	female
HG04216	ITU	IND	Indian Telugu in the UK	female
HG04219	ITU	IND	Indian Telugu in the UK	male
HG04222	ITU	IND	Indian Telugu in the UK	male
HG04225	ITU	IND	Indian Telugu in the UK	male
HG04227	STU	IND	Sri Lankan Tamil in the UK	female
HG04229	STU	IND	Sri Lankan Tamil in the UK	male
HG04235	ITU	IND	Indian Telugu in the UK	male
HG04238	ITU	IND	Indian Telugu in the UK	male
HG04239	ITU	IND	Indian Telugu in the UK	male
NA07000	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11919	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11932	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11933	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12003	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12046	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12414	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12748	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12828	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12878	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA18501	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18504	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18507	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18516	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18522	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18523	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA18525	CHB	ASN	Han Chinese in Bejing, China	female
NA18526	CHB	ASN	Han Chinese in Bejing, China	female
NA18528	CHB	ASN	Han Chinese in Bejing, China	female
NA18530	CHB	ASN	Han Chinese in Bejing, China	male
NA18531	CHB	ASN	Han Chinese in Bejing, China	female
NA18532	CHB	ASN	Han Chinese in Bejing, China	female
NA18533	CHB	ASN	Han Chinese in Bejing, China	female
NA18534	CHB	ASN	Han Chinese in Bejing, China	male
NA18535	CHB	ASN	Han Chinese in Bejing, China	female
NA18536	CHB	ASN	Han Chinese in Bejing, China	male
NA18537	CHB	ASN	Han Chinese in Bejing, China	female
NA18538	CHB	ASN	Han Chinese in Bejing, China	female
NA18539	CHB	ASN	Han Chinese in Bejing, China	female
NA18541	CHB	ASN	Han Chinese in Bejing, China	female
NA18542	CHB	ASN	Han Chinese in Bejing, China	female
NA18543	CHB	ASN	Han Chinese in Bejing, China	male
NA18544	CHB	ASN	Han Chinese in Bejing, China	male
NA18545	CHB	ASN	Han Chinese in Bejing, China	female
NA18546	CHB	ASN	Han Chinese in Bejing, China	male
NA18547	CHB	ASN	Han Chinese in Bejing, China	female
NA18548	CHB	ASN	Han Chinese in Bejing, China	male
NA18549	CHB	ASN	Han Chinese in Bejing, China	male
NA18550	CHB	ASN	Han Chinese in Bejing, China	female
NA18552	CHB	ASN	Han Chinese in Bejing, China	female
NA18553	CHB	ASN	Han Chinese in Bejing, China	female
NA18555	CHB	ASN	Han Chinese in Bejing, China	female
NA18557	CHB	ASN	Han Chinese in Bejing, China	male
NA18558	CHB	ASN	Han Chinese in Bejing, China	male
NA18559	CHB	ASN	Han Chinese in Bejing, China	male
NA18560	CHB	ASN	Han Chinese in Bejing, China	female
NA18561	CHB	ASN	Han Chinese in Bejing, China	male
NA18562	CHB	ASN	Han Chinese in Bejing, China	male
NA18563	CHB	ASN	Han Chinese in Bejing, China	male
NA18564	CHB	ASN	Han Chinese in Bejing, China	female
NA18565	CHB	ASN	Han Chinese in Bejing, China	female
NA18566	CHB	ASN	Han Chinese in Bejing, China	female
NA18567	CHB	ASN	Han Chinese in Bejing, China	female
NA18570	CHB	ASN	Han Chinese in Bejing, China	female
NA18571	CHB	ASN	Han Chinese in Bejing, China	female
NA18572	CHB	ASN	Han Chinese in Bejing, China	male
NA18573	CHB	ASN	Han Chinese in Bejing, China	female
NA18574	CHB	ASN	Han Chinese in Bejing, China	female
NA18577	CHB	ASN	Han Chinese in Bejing, China	female
NA18579	CHB	ASN	Han Chinese in Bejing, China	female
NA18582	CHB	ASN	Han Chinese in Bejing, China	female
NA18591	CHB	ASN	Han Chinese in Bejing, China	female
NA18592	CHB	ASN	Han Chinese in Bejing, China	female
NA18593	CHB	ASN	Han Chinese in Bejing, China	female
NA18595	CHB	ASN	Han Chinese in Bejing, China	female
NA18596	CHB	ASN	Han Chinese in Bejing, China	female
NA18597	CHB	ASN	Han Chinese in Bejing, China	female
NA18599	CHB	ASN	Han Chinese in Bejing, China	female
NA18602	CHB	ASN	Han Chinese in Bejing, China	female
NA18603	CHB	ASN	Han Chinese in Bejing, China	male
NA18605	CHB	ASN	Han Chinese in Bejing, China	male
NA18606	CHB	ASN	Han Chinese in Bejing, China	male
NA18608	CHB	ASN	Han Chinese in Bejing, China	male
NA18609	CHB	ASN	Han Chinese in Bejing, China	male
NA18610	CHB	ASN	Han Chinese in Bejing, China	female
NA18611	CHB	ASN	Han Chinese in Bejing, China	male
NA18612	CHB	ASN	Han Chinese in Bejing, China	male
NA18613	CHB	ASN	Han Chinese in Bejing, China	male
NA18614	CHB	ASN	Han Chinese in Bejing, China	female
NA18615	CHB	ASN	Han Chinese in Bejing, China	female
NA18616	CHB	ASN	Han Chinese in Bejing, China	female
NA18617	CHB	ASN	Han Chinese in Bejing, China	female
NA18618	CHB	ASN	Han Chinese in Bejing, China	female
NA18619	CHB	ASN	Han Chinese in Bejing, China	female
NA18620	CHB	ASN	Han Chinese in Bejing, China	male
NA18621	CHB	ASN	Han Chinese in Bejing, China	male
NA18622	CHB	ASN	Han Chinese in Bejing, China	male
NA18623	CHB	ASN	Han Chinese in Bejing, China	male
NA18624	CHB	ASN	Han Chinese in Bejing, China	male
NA18625	CHB	ASN	Han Chinese in Bejing, China	female
NA18626	CHB	ASN	Han Chinese in Bejing, China	female
NA18627	CHB	ASN	Han Chinese in Bejing, China	female
NA18628	CHB	ASN	Han Chinese in Bejing, China	female
NA18629	CHB	ASN	Han Chinese in Bejing, China	male
NA18630	CHB	ASN	Han Chinese in Bejing, China	female
NA18631	CHB	ASN	Han Chinese in Bejing, China	female
NA18632	CHB	ASN	Han Chinese in Bejing, China	male
NA18633	CHB	ASN	Han Chinese in Bejing, China	male
NA18634	CHB	ASN	Han Chinese in Bejing, China	female
NA18635	CHB	ASN	Han Chinese in Bejing, China	male
NA18636	CHB	ASN	Han Chinese in Bejing, China	male
NA18637	CHB	ASN	Han Chinese in Bejing, China	male
NA18638	CHB	ASN	Han Chinese in Bejing, China	male
NA18639	CHB	ASN	Han Chinese in Bejing, China	male
NA18640	CHB	ASN	Han Chinese in Bejing, China	female
NA18641	CHB	ASN	Han Chinese in Bejing, China	female
NA18642	CHB	ASN	Han Chinese in Bejing, China	female
NA18643	CHB	ASN	Han Chinese in Bejing, China	male
NA18644	CHB	ASN	Han Chinese in Bejing, China	female
NA18645	CHB	ASN	Han Chinese in Bejing, China	male
NA18646	CHB	ASN	Han Chinese in Bejing, China	female
NA18647	CHB	ASN	Han Chinese in Bejing, China	male
NA18648	CHB	ASN	Han Chinese in Bejing, China	male
NA18740	CHB	ASN	Han Chinese in Bejing, China	male
NA18745	CHB	ASN	Han Chinese in Bejing, China	male
NA18747	CHB	ASN	Han Chinese in Bejing, China	male
NA18748	CHB	ASN	Han Chinese in Bejing, China	male
NA18749	CHB	ASN	Han Chinese in Bejing, China	male
NA18757	CHB	ASN	Han Chinese in Bejing, China	male
NA18853	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18856	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18864	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA18865	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18871	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18874	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18876	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA18877	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18878	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA18879	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18881	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA18915	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA18924	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA18939	JPT	ASN	Japanese in Tokyo, Japan	female
NA18940	JPT	ASN	Japanese in Tokyo, Japan	male
NA18941	JPT	ASN	Japanese in Tokyo, Japan	female
NA18942	JPT	ASN	Japanese in Tokyo, Japan	female
NA18943	JPT	ASN	Japanese in Tokyo, Japan	male
NA18944	JPT	ASN	Japanese in Tokyo, Japan	male
NA18945	JPT	ASN	Japanese in Tokyo, Japan	male
NA18946	JPT	ASN	Japanese in Tokyo, Japan	female
NA18947	JPT	ASN	Japanese in Tokyo, Japan	female
NA18948	JPT	ASN	Japanese in Tokyo, Japan	male
NA18949	JPT	ASN	Japanese in Tokyo, Japan	female
NA18950	JPT	ASN	Japanese in Tokyo, Japan	female
NA18951	JPT	ASN	Japanese in Tokyo, Japan	female
NA18952	JPT	ASN	Japanese in Tokyo, Japan	male
NA18953	JPT	ASN	Japanese in Tokyo, Japan	male
NA18954	JPT	ASN	Japanese in Tokyo, Japan	female
NA18956	JPT	ASN	Japanese in Tokyo, Japan	female
NA18957	JPT	ASN	Japanese in Tokyo, Japan	female
NA18959	JPT	ASN	Japanese in Tokyo, Japan	male
NA18960	JPT	ASN	Japanese in Tokyo, Japan	male
NA18961	JPT	ASN	Japanese in Tokyo, Japan	male
NA18962	JPT	ASN	Japanese in Tokyo, Japan	male
NA18963	JPT	ASN	Japanese in Tokyo, Japan	female
NA18964	JPT	ASN	Japanese in Tokyo, Japan	female
NA18965	JPT	ASN	Japanese in Tokyo, Japan	male
NA18966	JPT	ASN	Japanese in Tokyo, Japan	male
NA18967	JPT	ASN	Japanese in Tokyo, Japan	male
NA18968	JPT	ASN	Japanese in Tokyo, Japan	female
NA18969	JPT	ASN	Japanese in Tokyo, Japan	female
NA18970	JPT	ASN	Japanese in Tokyo, Japan	male
NA18971	JPT	ASN	Japanese in Tokyo, Japan	male
NA18972	JPT	ASN	Japanese in Tokyo, Japan	female
NA18973	JPT	ASN	Japanese in Tokyo, Japan	female
NA18974	JPT	ASN	Japanese in Tokyo, Japan	male
NA18975	JPT	ASN	Japanese in Tokyo, Japan	female
NA18976	JPT	ASN	Japanese in Tokyo, Japan	female
NA18977	JPT	ASN	Japanese in Tokyo, Japan	male
NA18978	JPT	ASN	Japanese in Tokyo, Japan	female
NA18979	JPT	ASN	Japanese in Tokyo, Japan	female
NA18980	JPT	ASN	Japanese in Tokyo, Japan	female
NA18981	JPT	ASN	Japanese in Tokyo, Japan	female
NA18982	JPT	ASN	Japanese in Tokyo, Japan	male
NA18983	JPT	ASN	Japanese in Tokyo, Japan	male
NA18984	JPT	ASN	Japanese in Tokyo, Japan	male
NA18985	JPT	ASN	Japanese in Tokyo, Japan	male
NA18986	JPT	ASN	Japanese in Tokyo, Japan	male
NA18987	JPT	ASN	Japanese in Tokyo, Japan	female
NA18988	JPT	ASN	Japanese in Tokyo, Japan	male
NA18989	JPT	ASN	Japanese in Tokyo, Japan	male
NA18990	JPT	ASN	Japanese in Tokyo, Japan	male
NA18991	JPT	ASN	Japanese in Tokyo, Japan	female
NA18992	JPT	ASN	Japanese in Tokyo, Japan	female
NA18993	JPT	ASN	Japanese in Tokyo, Japan	female
NA18994	JPT	ASN	Japanese in Tokyo, Japan	male
NA18995	JPT	ASN	Japanese in Tokyo, Japan	male
NA18997	JPT	ASN	Japanese in Tokyo, Japan	female
NA18998	JPT	ASN	Japanese in Tokyo, Japan	female
NA18999	JPT	ASN	Japanese in Tokyo, Japan	female
NA19000	JPT	ASN	Japanese in Tokyo, Japan	male
NA19001	JPT	ASN	Japanese in Tokyo, Japan	female
NA19002	JPT	ASN	Japanese in Tokyo, Japan	female
NA19003	JPT	ASN	Japanese in Tokyo, Japan	female
NA19004	JPT	ASN	Japanese in Tokyo, Japan	male
NA19005	JPT	ASN	Japanese in Tokyo, Japan	male
NA19006	JPT	ASN	Japanese in Tokyo, Japan	male
NA19007	JPT	ASN	Japanese in Tokyo, Japan	male
NA19009	JPT	ASN	Japanese in Tokyo, Japan	male
NA19010	JPT	ASN	Japanese in Tokyo, Japan	female
NA19011	JPT	ASN	Japanese in Tokyo, Japan	female
NA19012	JPT	ASN	Japanese in Tokyo, Japan	male
NA19017	LWK	AFR	Luhya in Webuye, Kenya	female
NA19019	LWK	AFR	Luhya in Webuye, Kenya	female
NA19020	LWK	AFR	Luhya in Webuye, Kenya	male
NA19023	LWK	AFR	Luhya in Webuye, Kenya	female
NA19024	LWK	AFR	Luhya in Webuye, Kenya	female
NA19025	LWK	AFR	Luhya in Webuye, Kenya	male
NA19026	LWK	AFR	Luhya in Webuye, Kenya	male
NA19027	LWK	AFR	Luhya in Webuye, Kenya	male
NA19028	LWK	AFR	Luhya in Webuye, Kenya	male
NA19030	LWK	AFR	Luhya in Webuye, Kenya	female
NA19031	LWK	AFR	Luhya in Webuye, Kenya	male
NA19035	LWK	AFR	Luhya in Webuye, Kenya	male
NA19036	LWK	AFR	Luhya in Webuye, Kenya	female
NA19037	LWK	AFR	Luhya in Webuye, Kenya	female
NA19038	LWK	AFR	Luhya in Webuye, Kenya	female
NA19041	LWK	AFR	Luhya in Webuye, Kenya	male
NA19042	LWK	AFR	Luhya in Webuye, Kenya	female
NA19043	LWK	AFR	Luhya in Webuye, Kenya	male
NA19054	JPT	ASN	Japanese in Tokyo, Japan	female
NA19055	JPT	ASN	Japanese in Tokyo, Japan	male
NA19056	JPT	ASN	Japanese in Tokyo, Japan	male
NA19057	JPT	ASN	Japanese in Tokyo, Japan	female
NA19058	JPT	ASN	Japanese in Tokyo, Japan	male
NA19059	JPT	ASN	Japanese in Tokyo, Japan	female
NA19060	JPT	ASN	Japanese in Tokyo, Japan	male
NA19062	JPT	ASN	Japanese in Tokyo, Japan	male
NA19063	JPT	ASN	Japanese in Tokyo, Japan	male
NA19064	JPT	ASN	Japanese in Tokyo, Japan	female
NA19065	JPT	ASN	Japanese in Tokyo, Japan	female
NA19066	JPT	ASN	Japanese in Tokyo, Japan	male
NA19067	JPT	ASN	Japanese in Tokyo, Japan	male
NA19068	JPT	ASN	Japanese in Tokyo, Japan	male
NA19070	JPT	ASN	Japanese in Tokyo, Japan	male
NA19072	JPT	ASN	Japanese in Tokyo, Japan	male
NA19074	JPT	ASN	Japanese in Tokyo, Japan	female
NA19075	JPT	ASN	Japanese in Tokyo, Japan	male
NA19076	JPT	ASN	Japanese in Tokyo, Japan	male
NA19077	JPT	ASN	Japanese in Tokyo, Japan	female
NA19078	JPT	ASN	Japanese in Tokyo, Japan	female
NA19079	JPT	ASN	Japanese in Tokyo, Japan	male
NA19080	JPT	ASN	Japanese in Tokyo, Japan	female
NA19081	JPT	ASN	Japanese in Tokyo, Japan	female
NA19082	JPT	ASN	Japanese in Tokyo, Japan	male
NA19083	JPT	ASN	Japanese in Tokyo, Japan	male
NA19084	JPT	ASN	Japanese in Tokyo, Japan	female
NA19085	JPT	ASN	Japanese in Tokyo, Japan	male
NA19086	JPT	ASN	Japanese in Tokyo, Japan	male
NA19087	JPT	ASN	Japanese in Tokyo, Japan	female
NA19088	JPT	ASN	Japanese in Tokyo, Japan	male
NA19089	JPT	ASN	Japanese in Tokyo, Japan	male
NA19090	JPT	ASN	Japanese in Tokyo, Japan	female
NA19091	JPT	ASN	Japanese in Tokyo, Japan	male
NA19238	YRI	AFR	Yoruba in Ibadan, Nigeria	female
NA19239	YRI	AFR	Yoruba in Ibadan, Nigeria	male
NA19307	LWK	AFR	Luhya in Webuye, Kenya	male
NA19308	LWK	AFR	Luhya in Webuye, Kenya	male
NA19309	LWK	AFR	Luhya in Webuye, Kenya	male
NA19310	LWK	AFR	Luhya in Webuye, Kenya	female
NA19312	LWK	AFR	Luhya in Webuye, Kenya	male
NA19314	LWK	AFR	Luhya in Webuye, Kenya	female
NA19315	LWK	AFR	Luhya in Webuye, Kenya	female
NA19316	LWK	AFR	Luhya in Webuye, Kenya	female
NA19317	LWK	AFR	Luhya in Webuye, Kenya	male
NA19318	LWK	AFR	Luhya in Webuye, Kenya	male
NA19319	LWK	AFR	Luhya in Webuye, Kenya	male
NA19320	LWK	AFR	Luhya in Webuye, Kenya	female
NA19321	LWK	AFR	Luhya in Webuye, Kenya	female
NA19323	LWK	AFR	Luhya in Webuye, Kenya	female
NA19324	LWK	AFR	Luhya in Webuye, Kenya	female
NA19327	LWK	AFR	Luhya in Webuye, Kenya	female
NA19328	LWK	AFR	Luhya in Webuye, Kenya	female
NA19331	LWK	AFR	Luhya in Webuye, Kenya	male
NA19332	LWK	AFR	Luhya in Webuye, Kenya	female
NA19334	LWK	AFR	Luhya in Webuye, Kenya	male
NA19338	LWK	AFR	Luhya in Webuye, Kenya	female
NA19346	LWK	AFR	Luhya in Webuye, Kenya	male
NA19347	LWK	AFR	Luhya in Webuye, Kenya	male
NA19350	LWK	AFR	Luhya in Webuye, Kenya	male
NA19351	LWK	AFR	Luhya in Webuye, Kenya	female
NA19355	LWK	AFR	Luhya in Webuye, Kenya	female
NA19360	LWK	AFR	Luhya in Webuye, Kenya	male
NA19372	LWK	AFR	Luhya in Webuye, Kenya	male
NA19374	LWK	AFR	Luhya in Webuye, Kenya	male
NA19375	LWK	AFR	Luhya in Webuye, Kenya	male
NA19376	LWK	AFR	Luhya in Webuye, Kenya	male
NA19377	LWK	AFR	Luhya in Webuye, Kenya	female
NA19378	LWK	AFR	Luhya in Webuye, Kenya	female
NA19379	LWK	AFR	Luhya in Webuye, Kenya	female
NA19380	LWK	AFR	Luhya in Webuye, Kenya	male
NA19383	LWK	AFR	Luhya in Webuye, Kenya	male
NA19384	LWK	AFR	Luhya in Webuye, Kenya	male
NA19385	LWK	AFR	Luhya in Webuye, Kenya	male
NA19390	LWK	AFR	Luhya in Webuye, Kenya	female
NA19391	LWK	AFR	Luhya in Webuye, Kenya	female
NA19393	LWK	AFR	Luhya in Webuye, Kenya	male
NA19394	LWK	AFR	Luhya in Webuye, Kenya	male
NA19395	LWK	AFR	Luhya in Webuye, Kenya	female
NA19397	LWK	AFR	Luhya in Webuye, Kenya	male
NA19399	LWK	AFR	Luhya in Webuye, Kenya	female
NA19401	LWK	AFR	Luhya in Webuye, Kenya	female
NA19403	LWK	AFR	Luhya in Webuye, Kenya	female
NA19404	LWK	AFR	Luhya in Webuye, Kenya	female
NA19428	LWK	AFR	Luhya in Webuye, Kenya	male
NA19429	LWK	AFR	Luhya in Webuye, Kenya	male
NA19430	LWK	AFR	Luhya in Webuye, Kenya	male
NA19431	LWK	AFR	Luhya in Webuye, Kenya	female
NA19434	LWK	AFR	Luhya in Webuye, Kenya	female
NA19435	LWK	AFR	Luhya in Webuye, Kenya	female
NA19436	LWK	AFR	Luhya in Webuye, Kenya	female
NA19437	LWK	AFR	Luhya in Webuye, Kenya	female
NA19438	LWK	AFR	Luhya in Webuye, Kenya	female
NA19439	LWK	AFR	Luhya in Webuye, Kenya	female
NA19440	LWK	AFR	Luhya in Webuye, Kenya	female
NA19443	LWK	AFR	Luhya in Webuye, Kenya	male
NA19445	LWK	AFR	Luhya in Webuye, Kenya	female
NA19446	LWK	AFR	Luhya in Webuye, Kenya	female
NA19448	LWK	AFR	Luhya in Webuye, Kenya	male
NA19449	LWK	AFR	Luhya in Webuye, Kenya	female
NA19451	LWK	AFR	Luhya in Webuye, Kenya	male
NA19452	LWK	AFR	Luhya in Webuye, Kenya	male
NA19454	LWK	AFR	Luhya in Webuye, Kenya	male
NA19455	LWK	AFR	Luhya in Webuye, Kenya	male
NA19456	LWK	AFR	Luhya in Webuye, Kenya	female
NA19457	LWK	AFR	Luhya in Webuye, Kenya	female
NA19461	LWK	AFR	Luhya in Webuye, Kenya	male
NA19462	LWK	AFR	Luhya in Webuye, Kenya	female
NA19463	LWK	AFR	Luhya in Webuye, Kenya	female
NA19466	LWK	AFR	Luhya in Webuye, Kenya	male
NA19467	LWK	AFR	Luhya in Webuye, Kenya	female
